FLD_ZONE,LUCODE,popul_by_1,risk_group
D,257,6541,unknown
D,237,6541,unknown
D,357,6541,unknown
D,117,6541,unknown
D,157,6541,unknown
D,177,6541,unknown
D,277,6541,unknown
D,117,6541,unknown
D,57,6541,unknown
D,237,6541,unknown
D,357,6541,unknown
D,297,6541,unknown
D,37,6541,unknown
D,17,6541,unknown
D,237,6541,unknown
D,217,6541,unknown
D,197,6541,unknown
D,57,6541,unknown
D,97,6541,unknown
D,177,6541,unknown
D,317,6541,unknown
D,157,6541,unknown
D,277,6541,unknown
D,97,6541,unknown
D,237,6541,unknown
D,137,6541,unknown
D,77,6541,unknown
D,97,6541,unknown
D,217,6541,unknown
D,177,6541,unknown
D,157,6541,unknown
D,137,6541,unknown
D,37,6541,unknown
D,57,6541,unknown
D,217,6541,unknown
D,197,6541,unknown
D,57,6541,unknown
D,197,6541,unknown
D,157,6541,unknown
D,77,6541,unknown
D,117,6541,unknown
D,337,6541,unknown
D,17,6541,unknown
D,197,6541,unknown
D,257,6541,unknown
D,157,6541,unknown
D,37,6541,unknown
D,117,6541,unknown
D,157,6541,unknown
D,337,6541,unknown
D,257,6541,unknown
D,37,6541,unknown
D,157,6541,unknown
D,77,6541,unknown
D,97,6541,unknown
D,57,6541,unknown
D,177,6541,unknown
D,217,6541,unknown
D,277,6541,unknown
D,117,6541,unknown
D,137,6541,unknown
D,197,6541,unknown
D,297,6541,unknown
D,337,6541,unknown
D,337,6541,unknown
D,197,6541,unknown
D,37,6541,unknown
D,277,6541,unknown
D,277,6541,unknown
D,37,6541,unknown
D,237,6541,unknown
D,237,6541,unknown
D,357,6541,unknown
D,177,6541,unknown
D,57,6541,unknown
D,17,6541,unknown
D,197,6541,unknown
D,97,6541,unknown
D,237,6541,unknown
D,217,6541,unknown
D,17,6541,unknown
D,197,6541,unknown
D,237,6541,unknown
D,357,6541,unknown
D,157,6541,unknown
D,117,6541,unknown
D,57,6541,unknown
D,177,6541,unknown
D,277,6541,unknown
D,217,6541,unknown
D,137,6541,unknown
D,317,6541,unknown
D,77,6541,unknown
D,277,6541,unknown
D,77,6541,unknown
D,17,6541,unknown
D,17,6541,unknown
D,337,6541,unknown
D,97,6541,unknown
D,277,6541,unknown
D,97,6541,unknown
D,217,6541,unknown
D,77,6541,unknown
D,357,6541,unknown
D,157,6541,unknown
D,217,6541,unknown
D,137,6541,unknown
D,177,6541,unknown
D,317,6541,unknown
D,137,6541,unknown
D,297,6541,unknown
D,317,6541,unknown
D,257,6541,unknown
D,97,6541,unknown
D,177,6541,unknown
D,197,6541,unknown
D,117,6541,unknown
D,277,6541,unknown
D,57,6541,unknown
D,217,6541,unknown
D,277,6541,unknown
D,237,6541,unknown
D,217,6541,unknown
D,77,6541,unknown
D,137,6541,unknown
D,17,6541,unknown
D,77,6541,unknown
D,157,6541,unknown
D,97,6541,unknown
D,177,6541,unknown
D,357,6541,unknown
D,277,6541,unknown
D,77,6541,unknown
D,157,6541,unknown
D,357,6541,unknown
D,117,6541,unknown
D,197,6541,unknown
D,337,6541,unknown
D,237,6541,unknown
D,77,6541,unknown
D,317,6541,unknown
D,17,6541,unknown
D,97,6541,unknown
D,277,6541,unknown
D,257,6541,unknown
D,297,6541,unknown
D,97,6541,unknown
D,57,6541,unknown
D,137,6541,unknown
D,257,6541,unknown
D,157,6541,unknown
D,137,6541,unknown
D,57,6541,unknown
D,17,6541,unknown
D,97,6541,unknown
D,337,6541,unknown
D,97,6541,unknown
D,237,6541,unknown
D,177,6541,unknown
D,237,6541,unknown
D,317,6541,unknown
D,197,6541,unknown
D,117,6541,unknown
D,37,6541,unknown
D,217,6541,unknown
D,297,6541,unknown
D,317,6541,unknown
D,337,6541,unknown
D,237,6541,unknown
D,277,6541,unknown
D,97,6541,unknown
D,97,6541,unknown
D,157,6541,unknown
D,297,6541,unknown
D,37,6541,unknown
D,237,6541,unknown
D,117,6541,unknown
D,317,6541,unknown
D,197,6541,unknown
D,357,6541,unknown
D,57,6541,unknown
D,157,6541,unknown
D,137,6541,unknown
D,277,6541,unknown
D,197,6541,unknown
D,257,6541,unknown
D,257,6541,unknown
D,57,6541,unknown
D,57,6541,unknown
D,177,6541,unknown
D,117,6541,unknown
D,137,6541,unknown
D,237,6541,unknown
D,97,6541,unknown
D,77,6541,unknown
D,277,6541,unknown
D,297,6541,unknown
D,117,6541,unknown
D,177,6541,unknown
D,157,6541,unknown
D,197,6541,unknown
D,277,6541,unknown
D,137,6541,unknown
D,237,6541,unknown
D,217,6541,unknown
D,37,6541,unknown
D,257,6541,unknown
D,237,6541,unknown
D,77,6541,unknown
D,17,6541,unknown
D,137,6541,unknown
D,77,6541,unknown
D,77,6541,unknown
D,317,6541,unknown
D,157,6541,unknown
D,177,6541,unknown
D,97,6541,unknown
D,117,6541,unknown
D,37,6541,unknown
D,237,6541,unknown
D,337,6541,unknown
D,37,6541,unknown
D,357,6541,unknown
D,97,6541,unknown
D,257,6541,unknown
D,317,6541,unknown
D,97,6541,unknown
D,137,6541,unknown
D,297,6541,unknown
D,77,6541,unknown
D,237,6541,unknown
D,297,6541,unknown
D,97,6541,unknown
D,137,6541,unknown
D,157,6541,unknown
D,57,6541,unknown
D,77,6541,unknown
D,97,6541,unknown
D,277,6541,unknown
D,337,6541,unknown
D,37,6541,unknown
D,257,6541,unknown
D,317,6541,unknown
D,277,6541,unknown
D,77,6541,unknown
D,117,6541,unknown
D,77,6541,unknown
D,237,6541,unknown
D,117,6541,unknown
D,57,6541,unknown
D,257,6541,unknown
D,317,6541,unknown
D,17,6541,unknown
D,97,6541,unknown
D,177,6541,unknown
D,357,6541,unknown
D,237,6541,unknown
D,17,6541,unknown
D,357,6541,unknown
D,37,6541,unknown
D,157,6541,unknown
D,217,6541,unknown
D,17,6541,unknown
D,157,6541,unknown
D,17,6541,unknown
D,297,6541,unknown
D,137,6541,unknown
D,137,6541,unknown
D,217,6541,unknown
D,297,6541,unknown
D,237,6541,unknown
D,77,6541,unknown
D,77,6541,unknown
D,277,6541,unknown
D,17,6541,unknown
D,117,6541,unknown
D,57,6541,unknown
D,37,6541,unknown
D,337,6541,unknown
D,177,6541,unknown
D,57,6541,unknown
D,157,6541,unknown
D,97,6541,unknown
D,77,6541,unknown
D,37,6541,unknown
D,237,6541,unknown
D,117,6541,unknown
D,137,6541,unknown
D,277,6541,unknown
D,277,6541,unknown
D,197,6541,unknown
D,157,6541,unknown
D,177,6541,unknown
D,337,6541,unknown
D,237,6541,unknown
D,337,6541,unknown
D,277,6541,unknown
D,357,6541,unknown
D,257,6541,unknown
D,97,6541,unknown
D,337,6541,unknown
D,357,6541,unknown
D,117,6541,unknown
D,17,6541,unknown
D,357,6541,unknown
D,97,6541,unknown
D,297,6541,unknown
D,337,6541,unknown
D,277,6541,unknown
D,177,6541,unknown
D,217,6541,unknown
D,237,6541,unknown
D,57,6541,unknown
D,57,6541,unknown
D,137,6541,unknown
D,317,6541,unknown
D,197,6541,unknown
D,157,6541,unknown
D,57,6541,unknown
D,157,6541,unknown
D,157,6541,unknown
D,177,6541,unknown
D,77,6541,unknown
D,197,6541,unknown
D,237,6541,unknown
D,237,6541,unknown
D,97,6541,unknown
D,357,6541,unknown
D,177,6541,unknown
D,57,6541,unknown
D,137,6541,unknown
D,277,6541,unknown
D,257,6541,unknown
D,197,6541,unknown
D,317,6541,unknown
D,257,6541,unknown
D,17,6541,unknown
D,117,6541,unknown
D,77,6541,unknown
D,137,6541,unknown
D,197,6541,unknown
D,337,6541,unknown
D,297,6541,unknown
D,37,6541,unknown
D,37,6541,unknown
D,237,6541,unknown
D,157,6541,unknown
D,117,6541,unknown
D,337,6541,unknown
D,37,6541,unknown
D,357,6541,unknown
D,77,6541,unknown
D,17,6541,unknown
D,217,6541,unknown
D,97,6541,unknown
D,157,6541,unknown
D,137,6541,unknown
D,57,6541,unknown
D,37,6541,unknown
D,177,6541,unknown
D,217,6541,unknown
D,237,6541,unknown
D,337,6541,unknown
D,357,6541,unknown
D,77,6541,unknown
D,57,6541,unknown
D,337,6541,unknown
D,157,6541,unknown
D,17,6541,unknown
D,277,6541,unknown
D,357,6541,unknown
D,77,6541,unknown
D,277,6541,unknown
D,97,6541,unknown
D,137,6541,unknown
D,357,6541,unknown
D,177,6541,unknown
D,157,6541,unknown
D,37,6541,unknown
D,237,6541,unknown
D,357,6541,unknown
D,217,6541,unknown
D,357,6541,unknown
D,277,6541,unknown
D,117,6541,unknown
D,317,6541,unknown
D,17,6541,unknown
D,97,6541,unknown
D,137,6541,unknown
D,57,6541,unknown
D,97,6541,unknown
D,317,6541,unknown
D,157,6541,unknown
D,97,6541,unknown
D,177,6541,unknown
D,197,6541,unknown
D,57,6541,unknown
D,337,6541,unknown
D,237,6541,unknown
D,297,6541,unknown
D,337,6541,unknown
D,57,6541,unknown
D,117,6541,unknown
D,77,6541,unknown
D,157,6541,unknown
D,237,6541,unknown
D,157,6541,unknown
D,257,6541,unknown
D,77,6541,unknown
D,117,6541,unknown
D,337,6541,unknown
D,237,6541,unknown
D,197,6541,unknown
D,157,6541,unknown
D,57,6541,unknown
D,137,6541,unknown
D,177,6541,unknown
D,197,6541,unknown
D,357,6541,unknown
D,237,6541,unknown
D,77,6541,unknown
D,257,6541,unknown
D,277,6541,unknown
D,17,6541,unknown
D,97,6541,unknown
D,77,6541,unknown
D,277,6541,unknown
D,17,6541,unknown
D,217,6541,unknown
D,57,6541,unknown
D,177,6541,unknown
D,277,6541,unknown
D,337,6541,unknown
D,337,6541,unknown
D,257,6541,unknown
D,117,6541,unknown
D,77,6541,unknown
D,357,6541,unknown
D,157,6541,unknown
D,97,6541,unknown
D,77,6541,unknown
D,77,6541,unknown
D,357,6541,unknown
D,237,6541,unknown
D,197,6541,unknown
D,297,6541,unknown
D,37,6541,unknown
D,297,6541,unknown
D,137,6541,unknown
D,177,6541,unknown
D,117,6541,unknown
D,57,6541,unknown
D,77,6541,unknown
D,297,6541,unknown
D,237,6541,unknown
D,137,6541,unknown
D,277,6541,unknown
D,257,6541,unknown
D,197,6541,unknown
D,77,6541,unknown
D,217,6541,unknown
D,57,6541,unknown
D,277,6541,unknown
D,97,6541,unknown
D,17,6541,unknown
D,157,6541,unknown
D,157,6541,unknown
D,357,6541,unknown
D,197,6541,unknown
D,317,6541,unknown
D,217,6541,unknown
D,97,6541,unknown
D,217,6541,unknown
D,357,6541,unknown
D,337,6541,unknown
D,317,6541,unknown
D,357,6541,unknown
D,177,6541,unknown
D,37,6541,unknown
D,337,6541,unknown
D,197,6541,unknown
D,197,6541,unknown
D,217,6541,unknown
D,157,6541,unknown
D,297,6541,unknown
D,57,6541,unknown
D,257,6541,unknown
D,137,6541,unknown
D,357,6541,unknown
D,317,6541,unknown
D,57,6541,unknown
D,257,6541,unknown
D,137,6541,unknown
D,197,6541,unknown
D,237,6541,unknown
D,37,6541,unknown
D,177,6541,unknown
D,337,6541,unknown
D,197,6541,unknown
D,257,6541,unknown
D,77,6541,unknown
D,277,6541,unknown
D,277,6541,unknown
D,37,6541,unknown
D,297,6541,unknown
D,37,6541,unknown
D,177,6541,unknown
D,237,6541,unknown
D,37,6541,unknown
D,137,6541,unknown
D,157,6541,unknown
D,77,6541,unknown
D,117,6541,unknown
D,177,6541,unknown
D,217,6541,unknown
D,97,6541,unknown
D,17,6541,unknown
D,77,6541,unknown
D,197,6541,unknown
D,217,6541,unknown
D,217,6541,unknown
D,217,6541,unknown
D,57,6541,unknown
D,257,6541,unknown
D,337,6541,unknown
D,157,6541,unknown
D,137,6541,unknown
D,277,6541,unknown
D,97,6541,unknown
D,137,6541,unknown
D,277,6541,unknown
D,237,6541,unknown
D,17,6541,unknown
D,37,6541,unknown
D,317,6541,unknown
D,177,6541,unknown
D,177,6541,unknown
D,57,6541,unknown
D,297,6541,unknown
D,57,6541,unknown
D,97,6541,unknown
D,297,6541,unknown
D,317,6541,unknown
D,257,6541,unknown
D,57,6541,unknown
D,157,6541,unknown
D,77,6541,unknown
D,17,6541,unknown
D,357,6541,unknown
D,117,6541,unknown
D,97,6541,unknown
D,257,6541,unknown
D,17,6541,unknown
D,197,6541,unknown
D,257,6541,unknown
D,177,6541,unknown
D,197,6541,unknown
D,57,6541,unknown
D,337,6541,unknown
D,37,6541,unknown
D,17,6541,unknown
D,237,6541,unknown
D,77,6541,unknown
D,117,6541,unknown
D,57,6541,unknown
D,217,6541,unknown
D,277,6541,unknown
D,237,6541,unknown
D,317,6541,unknown
D,37,6541,unknown
D,257,6541,unknown
D,177,6541,unknown
D,137,6541,unknown
D,197,6541,unknown
D,17,6541,unknown
D,297,6541,unknown
D,77,6541,unknown
D,357,6541,unknown
D,57,6541,unknown
D,217,6541,unknown
D,237,6541,unknown
D,357,6541,unknown
D,77,6541,unknown
D,37,6541,unknown
D,97,6541,unknown
D,177,6541,unknown
D,177,6541,unknown
D,277,6541,unknown
D,277,6541,unknown
D,257,6541,unknown
D,157,6541,unknown
D,217,6541,unknown
D,277,6541,unknown
D,357,6541,unknown
D,157,6541,unknown
D,217,6541,unknown
D,197,6541,unknown
D,257,6541,unknown
D,77,6541,unknown
D,197,6541,unknown
D,57,6541,unknown
D,57,6541,unknown
D,97,6541,unknown
D,337,6541,unknown
D,337,6541,unknown
D,357,6541,unknown
D,257,6541,unknown
D,117,6541,unknown
D,317,6541,unknown
D,97,6541,unknown
D,237,6541,unknown
D,197,6541,unknown
D,157,6541,unknown
D,77,6541,unknown
D,197,6541,unknown
D,97,6541,unknown
D,137,6541,unknown
D,237,6541,unknown
D,197,6541,unknown
D,297,6541,unknown
D,177,6541,unknown
D,77,6541,unknown
D,357,6541,unknown
D,297,6541,unknown
D,57,6541,unknown
D,177,6541,unknown
D,17,6541,unknown
D,277,6541,unknown
D,357,6541,unknown
D,77,6541,unknown
D,197,6541,unknown
D,197,6541,unknown
D,217,6541,unknown
D,237,6541,unknown
D,117,6541,unknown
D,177,6541,unknown
D,337,6541,unknown
D,77,6541,unknown
D,57,6541,unknown
D,237,6541,unknown
D,137,6541,unknown
D,157,6541,unknown
D,97,6541,unknown
D,297,6541,unknown
D,177,6541,unknown
D,157,6541,unknown
D,17,6541,unknown
D,97,6541,unknown
D,217,6541,unknown
D,277,6541,unknown
D,197,6541,unknown
D,277,6541,unknown
D,97,6541,unknown
D,237,6541,unknown
D,337,6541,unknown
D,57,6541,unknown
D,17,6541,unknown
D,17,6541,unknown
D,57,6541,unknown
D,57,6541,unknown
D,357,6541,unknown
D,317,6541,unknown
D,197,6541,unknown
D,137,6541,unknown
D,37,6541,unknown
D,277,6541,unknown
D,77,6541,unknown
D,237,6541,unknown
D,317,6541,unknown
D,297,6541,unknown
D,277,6541,unknown
D,217,6541,unknown
D,57,6541,unknown
D,197,6541,unknown
D,137,6541,unknown
D,37,6541,unknown
D,357,6541,unknown
D,97,6541,unknown
D,197,6541,unknown
D,97,6541,unknown
D,37,6541,unknown
D,177,6541,unknown
D,17,6541,unknown
D,317,6541,unknown
D,337,6541,unknown
D,77,6541,unknown
D,117,6541,unknown
D,37,6541,unknown
D,157,6541,unknown
D,37,6541,unknown
D,257,6541,unknown
D,277,6541,unknown
D,297,6541,unknown
D,157,6541,unknown
D,177,6541,unknown
D,97,6541,unknown
D,197,6541,unknown
D,257,6541,unknown
D,217,6541,unknown
D,77,6541,unknown
D,157,6541,unknown
D,97,6541,unknown
D,197,6541,unknown
D,57,6541,unknown
D,277,6541,unknown
D,237,6541,unknown
D,117,6541,unknown
D,317,6541,unknown
D,197,6541,unknown
D,117,6541,unknown
D,57,6541,unknown
D,137,6541,unknown
D,237,6541,unknown
D,257,6541,unknown
D,57,6541,unknown
D,17,6541,unknown
D,37,6541,unknown
D,37,6541,unknown
D,197,6541,unknown
D,77,6541,unknown
D,297,6541,unknown
D,97,6541,unknown
D,357,6541,unknown
D,17,6541,unknown
D,97,6541,unknown
D,57,6541,unknown
D,77,6541,unknown
D,177,6541,unknown
D,277,6541,unknown
D,237,6541,unknown
D,357,6541,unknown
D,317,6541,unknown
D,157,6541,unknown
D,17,6541,unknown
D,217,6541,unknown
D,197,6541,unknown
D,157,6541,unknown
D,217,6541,unknown
D,57,6541,unknown
D,97,6541,unknown
D,17,6541,unknown
D,357,6541,unknown
D,337,6541,unknown
D,357,6541,unknown
D,137,6541,unknown
D,217,6541,unknown
D,137,6541,unknown
D,57,6541,unknown
D,97,6541,unknown
D,17,6541,unknown
D,157,6541,unknown
D,57,6541,unknown
D,117,6541,unknown
D,197,6541,unknown
D,157,6541,unknown
D,337,6541,unknown
D,277,6541,unknown
D,77,6541,unknown
D,77,6541,unknown
D,177,6541,unknown
D,337,6541,unknown
D,77,6541,unknown
D,137,6541,unknown
D,277,6541,unknown
D,357,6541,unknown
D,157,6541,unknown
D,237,6541,unknown
D,297,6541,unknown
D,117,6541,unknown
D,357,6541,unknown
D,197,6541,unknown
D,177,6541,unknown
D,37,6541,unknown
D,137,6541,unknown
D,117,6541,unknown
D,197,6541,unknown
D,97,6541,unknown
D,177,6541,unknown
D,357,6541,unknown
D,197,6541,unknown
D,217,6541,unknown
D,277,6541,unknown
D,197,6541,unknown
D,277,6541,unknown
D,137,6541,unknown
D,317,6541,unknown
D,237,6541,unknown
D,197,6541,unknown
D,277,6541,unknown
D,137,6541,unknown
D,37,6541,unknown
D,17,6541,unknown
D,157,6541,unknown
D,77,6541,unknown
D,97,6541,unknown
D,237,6541,unknown
D,97,6541,unknown
D,257,6541,unknown
D,357,6541,unknown
D,297,6541,unknown
D,217,6541,unknown
D,277,6541,unknown
D,337,6541,unknown
D,117,6541,unknown
D,197,6541,unknown
D,237,6541,unknown
D,57,6541,unknown
D,17,6541,unknown
D,177,6541,unknown
D,37,6541,unknown
D,97,6541,unknown
D,297,6541,unknown
D,177,6541,unknown
D,57,6541,unknown
D,77,6541,unknown
D,97,6541,unknown
D,317,6541,unknown
D,297,6541,unknown
D,177,6541,unknown
D,257,6541,unknown
D,217,6541,unknown
D,37,6541,unknown
D,157,6541,unknown
D,177,6541,unknown
D,337,6541,unknown
D,197,6541,unknown
D,237,6541,unknown
D,77,6541,unknown
D,197,6541,unknown
D,217,6541,unknown
D,157,6541,unknown
D,217,6541,unknown
D,77,6541,unknown
D,357,6541,unknown
D,117,6541,unknown
D,57,6541,unknown
D,77,6541,unknown
D,237,6541,unknown
D,17,6541,unknown
D,157,6541,unknown
D,57,6541,unknown
D,197,6541,unknown
D,257,6541,unknown
D,197,6541,unknown
D,117,6541,unknown
D,337,6541,unknown
D,177,6541,unknown
D,97,6541,unknown
D,237,6541,unknown
D,237,6541,unknown
D,37,6541,unknown
D,77,6541,unknown
D,97,6541,unknown
D,137,6541,unknown
D,177,6541,unknown
D,57,6541,unknown
D,197,6541,unknown
D,297,6541,unknown
D,137,6541,unknown
D,97,6541,unknown
D,217,6541,unknown
D,237,6541,unknown
D,157,6541,unknown
D,277,6541,unknown
D,317,6541,unknown
D,17,6541,unknown
D,117,6541,unknown
D,177,6541,unknown
D,197,6541,unknown
D,157,6541,unknown
D,157,6541,unknown
D,57,6541,unknown
D,237,6541,unknown
D,217,6541,unknown
D,97,6541,unknown
D,357,6541,unknown
D,197,6541,unknown
D,297,6541,unknown
D,277,6541,unknown
D,257,6541,unknown
D,17,6541,unknown
D,57,6541,unknown
D,217,6541,unknown
D,277,6541,unknown
D,77,6541,unknown
D,357,6541,unknown
D,217,6541,unknown
D,177,6541,unknown
D,217,6541,unknown
D,197,6541,unknown
D,357,6541,unknown
D,77,6541,unknown
D,237,6541,unknown
D,197,6541,unknown
D,57,6541,unknown
D,17,6541,unknown
D,277,6541,unknown
D,197,6541,unknown
D,137,6541,unknown
D,237,6541,unknown
D,97,6541,unknown
D,37,6541,unknown
D,257,6541,unknown
D,77,6541,unknown
D,257,6541,unknown
D,337,6541,unknown
D,177,6541,unknown
D,117,6541,unknown
D,97,6541,unknown
D,357,6541,unknown
D,77,6541,unknown
D,297,6541,unknown
D,197,6541,unknown
D,157,6541,unknown
D,17,6541,unknown
D,57,6541,unknown
D,337,6541,unknown
D,157,6541,unknown
D,317,6541,unknown
D,117,6541,unknown
D,317,6541,unknown
D,37,6541,unknown
D,137,6541,unknown
D,217,6541,unknown
D,97,6541,unknown
D,197,6541,unknown
D,17,6541,unknown
D,177,6541,unknown
D,57,6541,unknown
D,297,6541,unknown
D,157,6541,unknown
D,77,6541,unknown
D,257,6541,unknown
D,157,6541,unknown
D,97,6541,unknown
D,357,6541,unknown
D,257,6541,unknown
D,357,6541,unknown
D,297,6541,unknown
D,237,6541,unknown
D,277,6541,unknown
D,57,6541,unknown
D,117,6541,unknown
D,217,6541,unknown
D,317,6541,unknown
D,297,6541,unknown
D,197,6541,unknown
D,277,6541,unknown
D,137,6541,unknown
D,117,6541,unknown
D,237,6541,unknown
D,277,6541,unknown
D,257,6541,unknown
D,77,6541,unknown
D,157,6541,unknown
D,217,6541,unknown
D,137,6541,unknown
D,117,6541,unknown
D,217,6541,unknown
D,197,6541,unknown
D,57,6541,unknown
D,157,6541,unknown
D,97,6541,unknown
D,177,6541,unknown
D,277,6541,unknown
D,297,6541,unknown
D,117,6541,unknown
D,217,6541,unknown
D,77,6541,unknown
D,77,6541,unknown
D,177,6541,unknown
D,37,6541,unknown
D,237,6541,unknown
D,197,6541,unknown
D,17,6541,unknown
D,57,6541,unknown
D,277,6541,unknown
D,177,6541,unknown
D,197,6541,unknown
D,237,6541,unknown
D,97,6541,unknown
D,77,6541,unknown
D,17,6541,unknown
D,197,6541,unknown
D,337,6541,unknown
D,57,6541,unknown
D,357,6541,unknown
D,117,6541,unknown
D,37,6541,unknown
D,257,6541,unknown
D,257,6541,unknown
D,337,6541,unknown
D,217,6541,unknown
D,197,6541,unknown
D,157,6541,unknown
D,277,6541,unknown
D,157,6541,unknown
D,57,6541,unknown
D,317,6541,unknown
D,177,6541,unknown
D,77,6541,unknown
D,117,6541,unknown
D,257,6541,unknown
D,37,6541,unknown
D,257,6541,unknown
D,17,6541,unknown
D,317,6541,unknown
D,17,6541,unknown
D,297,6541,unknown
D,137,6541,unknown
D,217,6541,unknown
D,337,6541,unknown
D,317,6541,unknown
D,57,6541,unknown
D,317,6541,unknown
D,117,6541,unknown
D,357,6541,unknown
D,357,6541,unknown
D,197,6541,unknown
D,217,6541,unknown
D,177,6541,unknown
D,97,6541,unknown
D,77,6541,unknown
D,137,6541,unknown
D,77,6541,unknown
D,117,6541,unknown
D,257,6541,unknown
D,337,6541,unknown
D,217,6541,unknown
D,57,6541,unknown
D,177,6541,unknown
D,217,6541,unknown
D,197,6541,unknown
D,357,6541,unknown
D,217,6541,unknown
D,257,6541,unknown
D,217,6541,unknown
D,17,6541,unknown
D,17,6541,unknown
D,57,6541,unknown
D,137,6541,unknown
D,97,6541,unknown
D,317,6541,unknown
D,117,6541,unknown
D,177,6541,unknown
D,257,6541,unknown
D,137,6541,unknown
D,337,6541,unknown
D,177,6541,unknown
D,117,6541,unknown
D,357,6541,unknown
D,97,6541,unknown
D,277,6541,unknown
D,117,6541,unknown
D,237,6541,unknown
D,257,6541,unknown
D,337,6541,unknown
D,277,6541,unknown
D,177,6541,unknown
D,157,6541,unknown
D,77,6541,unknown
D,37,6541,unknown
D,317,6541,unknown
D,117,6541,unknown
D,237,6541,unknown
D,337,6541,unknown
D,157,6541,unknown
D,17,6541,unknown
D,237,6541,unknown
D,277,6541,unknown
D,137,6541,unknown
D,17,6541,unknown
D,117,6541,unknown
D,177,6541,unknown
D,317,6541,unknown
D,257,6541,unknown
D,217,6541,unknown
D,37,6541,unknown
D,37,6541,unknown
D,337,6541,unknown
D,257,6541,unknown
D,197,6541,unknown
D,77,6541,unknown
D,117,6541,unknown
D,357,6541,unknown
D,57,6541,unknown
D,317,6541,unknown
D,297,6541,unknown
D,137,6541,unknown
D,317,6541,unknown
D,277,6541,unknown
D,177,6541,unknown
D,117,6541,unknown
